howfundId,tejId,FRId,FCId,FDId
how636,T1249Y,,,
how637,T1250A,,,
how638,T1250B,,,
how639,T1252A,,,
how640,T1252B,,,
how641,T1254Y,,,
how642,T1402Y,SKI003,,
how643,T1403Y,SKI004,,
how644,T1405Y,SKI016,,
how645,T1406Y,SKI015,,
how646,T1407Y,SKI014,,
how647,T1408Y,SKI002,,
how648,T1411Y,SKI001,,
how649,T1414Y,SKI017,,
how650,T1416Y,,,
how651,T1419Y,SKI005,,
how652,T1426Y,,,
how653,T1427A,SKI006,,
how654,T1427B,,,
how655,T1428Y,,,
how656,T1430B,SKI009,,
how657,T1430Y,SKI008,,
how658,T1431Y,,,
how659,T1432Y,,,
how660,T1433A,SKI010,,
how661,T1433B,,,
how662,T1433C,SKI012,,
how663,T1433D,,,
how664,T1501Y,UBS006,,
how665,T1502Y,UBS007,,
how666,T1503A,UBS001,,
how667,T1503B,,,
how668,T1504A,UBS003,,
how669,T1504B,UBS004,,
how670,T1504C,UBS005,,
how671,T1601Y,CIT067,,
how672,T1602Y,CIT068,,
how673,T1603Y,CIT069,,
how674,T1604Y,CIT070,,
how675,T1605Y,CIT071,,
how676,T1606A,CIT072,,
how677,T1606B,,,
how678,T1607Y,CIT005,,
how679,T1608Y,CIT075,,
how680,T1609Y,CIT076,,
how681,T1610Y,CIT006,,
how682,T1611B,CIT008,,
how683,T1611C,CIT009,,
how684,T1611Y,CIT007,,
how685,T1612Y,CIT004,,
how686,T1613Y,CIT074,,
how687,T1614Y,CIT003,,
how688,T1615Y,,,
how689,T1616Y,CIT001,,
how690,T1617Y,CIT002,,
how691,T1618Y,CIT023,,
how692,T1619Y,CIT010,,
how693,T1620Y,CIT011,,
how694,T1621Y,CIT012,,
how695,T1622B,CIT015,,
how696,T1622C,CIT014,,
how697,T1622Y,CIT013,,
how698,T1623B,CIT017,,
how699,T1623C,CIT018,,
how700,T1623Y,CIT016,,
how701,T1624Y,CIT019,,
how702,T1625B,CIT021,,
how703,T1625C,CIT022,,
how704,T1625Y,CIT020,,
how705,T1626A,CIT024,,
how706,T1626B,,,
how707,T1627Y,,,
how708,T1628A,CIT026,,
how709,T1628B,,,
how710,T1649A,CIT030,,
how711,T1649B,CIT031,,
how712,T1650A,CIT028,,
how713,T1650B,CIT029,,
how714,T1651A,CIT032,,
how715,T1651B,CIT033,,
how716,T1651C,CIT034,,
how717,T1652A,CIT035,,
how718,T1652B,,,
how719,T1652C,CIT037,,
how720,T1652D,,,
how721,T1652E,CIT040,,
how722,T1652F,,,
how723,T1653A,,,
how724,T1653B,,,
how725,T1654A,CIT041,,
how726,T1654B,CIT042,,
how727,T1654C,CIT043,,
how728,T1655A,CIT044,,
how729,T1655B,,,
how730,T1655C,CIT046,,
how731,T1655D,,,
how732,T1655E,CIT048,,
how733,T1655F,,,
how734,T1655G,CIT050,,
how735,T1655H,,,
how736,T1656A,,,
how737,T1656B,,,
how738,T1656C,CIT054,,
how739,T1656D,,,
how740,T1656E,CIT056,,
how741,T1656F,,,
how742,T1657A,CIT058,,
how743,T1657B,CIT059,,
how744,T1657C,CIT060,,
how745,T1658A,CIT061,,
how746,T1658B,,,
how747,T1658C,CIT063,,
how748,T1658D,,,
how749,T1658E,CIT065,,
how750,T1658F,,,
how751,T1701Y,REL006,,
how752,T1706Y,REL002,,
how753,T1708Y,REL001,,
how754,T1711Y,REL007,,
how755,T1712Y,REL003,,
how756,T1713Y,REL004,,
how757,T1715Y,REL005,,
how758,T1802Y,,,
how759,T1803Y,,,
how760,T1808A,,,
how761,T1808B,,,
how762,T1809A,,,
how763,T1809B,,,
how764,T1809C,,,
how765,T1809D,,,
how766,T1810A,,,
