fundID,net
ABSMDI2EUR,8.69
ABSMDI2USD,9.68
ABSMDIEUR,6.04
ABSMDIUSD,6.73
ABSMDS1EUR,6.04
ABSMDS1USD,6.73
ABSUEAEUR,22.57
ABSUEAUSD,25.14
ABSUEIEUR,23.43
ABSUEIUSD,26.09
ABSUES1USD,26.62
ABSUESUSD,27.59
ABUSREADAUDH,14.8
ABUSREADNZDH,14.86
ABUSREADUSD,14.98
ABUSREAEUR,20.82
ABUSREAUSD,23.19
ABUSREBDAUDH,14.84
ABUSREBDUSD,14.96
ABUSREBEUR,17.82
ABUSREBUSD,19.85
ABUSREIEUR,23.57
ABUSREIUSD,26.25
ABUSRES1EUR,18.15
ABUSRES1USD,20.21
ABUSTRACADH,26.56
ABUSTRAEUR,14.12
ABUSTRAUSD,15.72
ABUSTRIEUR,15.99
ABUSTRIUSD,17.81
ABUSTRS1EUR,16.64
ABUSTRS1USD,18.53
ABUSTRSUSD,23.11
ABWFA,18.981
ABWFAC,12.3159
ABWFY,299.726
ABZ,9.915
AE5,7.147
AE6,7.019
AE7,7.038
AE8,7.072
AEAMSC,22.9748
AEASE,63.6119
AEASEI,69.1166
AEASMALL,39.0015
AEASMALLI,42.1886
AEASPROP,16.7118
AEAUE,34.3364
AECHINESE,20.4432
AECHINESI,22.1719
AEEASEUE,89.8447
AEEEA,7.2395
AEEEY,285.5184
AEEHYB,6.0397
AEEHYBA1H,9.976
AEEHYBA2,20.8093
AEEHYBA2H,15.422
AEEHYBI1H,9.7471
AEEHYBI2,15.233
AEEMARSM,17.2656
AEEMARSMG,9.0412
AEEMINFRA,7.29
AEEMLCB,6.7203
AEEMLCBA2,9.1531
AEEUE,43.7422
AEEUEINC,187.3479
AEEUEINCH,185.3747
AEFM,59.2875
AEFMG,8.8196
AEG,8.365
AEH,8.32
AEINDIA,131.2703
AEINDIAI,142.3682
AEJEP,405.4839
AEJEPH,11.1678
AEJEPI,89515.8054
AEJEPIH,12.0435
AEJEPSM,1153.8952
AEJEPSMH,13.8135
AEJEPSMI,1116.2498
AEJEPSMIH,7.9349
AEK,8.362
AEL,8.338
AELATAM,3073.4532
AEMAF,26.135
AEMAG,22.8546
AEMBA,17.3199
AEMBA6HD,9.5704
AEMBAD,9.4678
AEMBY,230.6167
AEMKF,11.5496
AEMKG,9.5454
AEMLA,12.5592
AEMLA6HD,7.9727
AEMLA9HD,112.3647
AEMLAD,7.7368
AEMLY,118.4597
AERESPW,10.029
AESCA1,25.3541
AESCY,877.2316
AESCY1,783.6666
AESHCYB,10.038
AESHCYBA2,12.6062
AESHYB,17.5686
AESHYBA2,41.0408
AESHYBI,17.7698
AESHYBI2,17.1612
AETEC,4.5181
AEUFA,18.4437
AEUFY,270.1255
AEUK,21.1819
AEWE,16.571
AEWRES,10.0772
AF10X,13.2434
AF15X,12.8703
AF21X,9.3522
AF22X,13.1958
AF24X,17.5374
AF25X,12.3015
AF26X,12.0705
AF27X,10.7408
AF38X,12.6283
AF39X,10.5702
AF46X,19.73
AF48X,10.818
AF96X,8.0077
AGAVF,160.4586
AGAVG,141.3322
AGBDA,21.563
AGBDY,282.7355
AGCCF,14.1668
AGEAF,147.6837
AGEAG,132.7222
AGEMA,14.5682
AGEMF,14.5873
AGEMG,13.2144
AGEMY,310.4545
AGENF,15.4928
AGENG,13.6754
AGEQA,20.3052
AGEQY,153.7808
AGEYF,139.117
AGEYG,123.6218
AGIF-FL3,183.45
AGIF-FLI,2031.84
AGIF-FLU,12.01
AGIF-FQ3,237.76
AGIF-FQ5,940.8
AGIF-FQGM,8.72
AGIF-FQI,2534.9
AGIF-FQM,10.34
AGIF-FQR,10.43
AGIF-FR1,5.33
AGIF-FR3,82.81
AGIF-FRGM,10.3
AGIF-FS2,23.1
AGIF-FS4,21.27
AGIF-FV1,13.65
AGIF-FV5,1137.61
AGIF-FVM,8.83
AGIF-FVN,8.59
AGIF-FVP,8.92
AGIF-FVR,8.5
AGIF-FVZ,130.76
AGIF-FWI,2308.85
AGIF-FX1,11.08
AGIF-FX5,1114.05
AGIF-FXGM,10.09
AGIF-FXM,8.83
AGIF-FXP,8.84
AGIF-HTG,16.29
AGIF-JAP,18.43
AGIF-JPI,20.81
AGIF-JPU,9.68
AGIF-NB3,151.92
AGIF-NB6,1145.95
AGIF-NBI,975.04
AGIF-NE3,133.17
AGIF-NE5,917.9
AGIF-NEI,1370.64
AGIF-NEU,9.37
AGIF-OIC,9.73
AGIF-OID,97.24
AGIF-OIN,96.4
AGIF-OIR,93.07
AGIF-TIG,79.94
AGIF-TR5,871.26
AGIF-TRA,23.29
AGIF-TRGM,9.39
AGIF-TRM,9.39
AGIF-TRP,9.24
AGIF-TSI,5.35
AGIF-TSK,9.3
AGQGF,174.465
AGQGG,158.6254
AGSCG,150.4998
AIA,10.937
AIEQA,46.9033
AIEQY,409.1213
AJNHA,12.1707
AJNHA3,794.9934
AJNHY,119.303
AJSCA3,4951.1758
AJSCG,0.8354
AJSCY,68.6189
AJSCY3,5656.052
AJSPA,14.7949
AJSPY,128.7368
AJSPY3,1806.2237
AL7,9.994
ALAFA,11.1419
ALAFY,440.3926
ALAMF,30.3141
ALAMG,25.568
ALB,10.191
ALC,10.882
ALCRA,18.5815
ALCRY,195.7809
ALSPA,9.4243
ALSPY,81.4448
ALZ,8.985
AMIDF,13.7251
AMIDG,12.4347
AND,9.698
APEQF,14.3898
ASBMA,17.8981
ASBMAD,10.8933
ASBMYD,89.9819
ASC,12.179
AUMCF,246.8214
AUMCG,218.1228
AUSEF,121.1974
AVA,11.046
AXARGEB,15.49
AXARGSCB,31.02
AXARJPEB,858.32
AXARJPSCB,1941.96
AXARPEEB,10.94
AXARPESCB,20.91
AXARUSEB,18.1
AXAWAAC,198.16
AXAWAACAH,131.95
AXAWAACDQ,118.57
AXAWFEM,81.48
AXAWFESC,136.71
AXAWOIAC,171.55
AXAWUHYB,148.2
AXAWUHYBAH,179.95
AXAWUHYBT,89.15
